Product_ID,Product_Key,Product_Description,Product_Category,Record_Type,Source_Status,Source_Count,In_Sales,In_Stock,In_SOA,Sales_Stock_Code,Sales_Description,Sales_Category,Stock_Model,Stock_Description,Stock_Category,SOA_Model,SOA_Description
1,010-02384-10,Garmin Lily Cream Gold & White,FITNESS,PRODUCT,SALES_ONLY,1,True,False,False,010-02384-10,Garmin Lily Cream Gold & White,FITNESS,,,,,
2,010-02784-00,Garmin Venu 3 Smartwatch - Silver,FITNESS,PRODUCT,SALES_ONLY,1,True,False,False,010-02784-00,Garmin Venu 3 Smartwatch - Silver,FITNESS,,,,,
3,010-02784-01,Garmin Venu 3 Smartwatch - Slate,FITNESS,PRODUCT,SALES_ONLY,1,True,False,False,010-02784-01,Garmin Venu 3 Smartwatch - Slate,FITNESS,,,,,
4,010-02839-00,"Garmin Lily 2, Cream Gold w/",FITNESS,PRODUCT,SALES_ONLY,1,True,False,False,010-02839-00,"Garmin Lily 2, Cream Gold w/",FITNESS,,,,,
5,01950,NUTRIBULLET PRO 4pc Starter Kit,BLENDERS,PRODUCT,SALES_ONLY,1,True,False,False,01950,NUTRIBULLET PRO 4pc Starter Kit,BLENDERS,,,,,
6,10009310,Miele GGRP Gourmet Griddle Plate,WHITES ACCESSORIES,PRODUCT,SALES_ONLY,1,True,False,False,10009310,Miele GGRP Gourmet Griddle Plate,WHITES ACCESSORIES,,,,,
7,10107860,Miele SF-AP 50 Air Clean Plus Filter,VACUUM ACCESSORIES,PRODUCT,SALES_ONLY,1,True,False,False,10107860,Miele SF-AP 50 Air Clean Plus Filter,VACUUM ACCESSORIES,,,,,
8,10234470,Miele Nature Flacon,WHITES ACCESSORIES,PRODUCT,SALES_ONLY,1,True,False,False,10234470,Miele Nature Flacon,WHITES ACCESSORIES,,,,,
9,102785,"MR Equip Metallic Red, 1.5 litre, 3kw",KETTLES,PRODUCT,SALES_ONLY,1,True,False,False,102785,"MR Equip Metallic Red, 1.5 litre, 3kw",KETTLES,,,,,
10,103414675,ZAGG Pro Keys 2-Apple iPad Pro 13,IT ACCESSORIES,PRODUCT,SALES_ONLY,1,True,False,False,103414675,ZAGG Pro Keys 2-Apple iPad Pro 13,IT ACCESSORIES,,,,,
11,107833-01,Dyson Supersonic Hair Dryer,,PRODUCT,SOA_ONLY,1,False,False,True,,,,,,,107833-01,Dyson Supersonic Hair Dryer
12,10795780,Sensitive Ultra Phase 2,WHITES ACCESSORIES,PRODUCT,SALES_ONLY,1,True,False,False,10795780,Sensitive Ultra Phase 2,WHITES ACCESSORIES,,,,,
13,110200,Port Designs Belize Satchel Bag 15.6,BAGS,PRODUCT,SALES_ONLY,1,True,False,False,110200,Port Designs Belize Satchel Bag 15.6,BAGS,,,,,
14,1107129,Berghoff Coffee /Tea Plunger .60L,HOUSEHOLD,PRODUCT,SALES_ONLY,1,True,False,False,1107129,Berghoff Coffee /Tea Plunger .60L,HOUSEHOLD,,,,,
