Category,Total_SKU_Records,Units_On_Hand,Out_Of_Stock,Low_Stock,High_Stock,Priority_Replenishment,Replenishment_Required,Promotion_Review,Slow_Mover_Review
COOKER HOODS,42,118,16,20,1,0,3,1,0
COOKERS,77,144,22,35,6,2,0,5,1
DISHWASHERS,77,102,19,47,0,0,0,0,0
DOUBLE OVENS,84,168,30,32,7,3,0,6,1
DOWNDRAFT HOBS,70,136,27,26,6,0,0,6,0
FREEZERS,35,38,16,14,1,0,0,1,0
FRIDGE FREEZERS,105,168,43,44,4,2,0,4,0
FRIDGES,49,67,14,28,1,1,2,1,0
GAS HOBS,56,115,18,22,5,0,1,4,1
HOBS,252,567,66,124,25,1,5,20,5
INT DISHWASHERS,161,461,49,71,19,4,3,15,1
INT FREEZERS,77,145,32,24,5,13,0,3,2
INT FRIDGE FREEZERS,98,295,46,33,10,1,0,8,2
INT FRIDGES,98,150,41,34,8,4,0,7,1
INT MICROWAVES,91,193,23,46,6,0,5,5,1
MICROWAVE OVENS,259,719,53,144,13,0,6,13,0
OVEN & HOB PACK,14,21,8,3,2,0,0,2,0
RANGE COOKERS,7,6,2,5,0,0,0,0,0
SINGLE OVENS,413,916,107,207,27,13,13,23,2
TUMBLE DRYERS,168,503,36,84,24,5,8,15,5
U/C FREEZER,28,47,9,10,2,0,1,1,1
U/C FRIDGE,35,41,14,14,1,0,0,1,0
USA F/F,98,134,36,44,1,0,0,1,0
WARMING DRAWERS,28,38,10,12,0,0,0,0,0
WASHER DRYERS,7,11,0,6,0,0,0,0,0
WASHING MACHINES,238,678,53,133,15,10,4,12,2
WINE COOLERS,14,20,3,9,1,0,0,1,0
